time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,population_run_11,ca2mean_run_11,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
79,5716,5584,5503,6264,5895,5768,5614,5649,5738,5855,5685,-4083.238383910672,7769.259400640942,-124.8369505326971,13985.282663383876,3784.958287932764,4655.634156784883,1060.415232500088,-214.08582254774748,-11196.597312845037,5598.360108289699,-6987.700999854799
80,5686,5600,5435,6306,5841,5715,5653,5630,5701,5870,5632,-4080.934229023884,7749.043442750528,-130.5109548580314,13939.76120398192,3770.122820247784,4646.77560811681,1057.5432740562055,-208.18438457709195,-11142.898780878413,5563.469474520155,-6935.200513702029
81,5662,5553,5383,6254,5828,5699,5643,5608,5692,5849,5574,-4070.5379899582413,7738.583049176787,-135.68865236423406,13968.373368830506,3774.026637533654,4619.396357081973,1056.5780117226418,-197.547233818964,-11097.629561100573,5544.417188790748,-6915.783458239648
82,5598,5523,5314,6241,5802,5734,5573,5610,5713,5820,5506,-4057.4700450040195,7715.670206835523,-136.1490012225831,13908.45318942337,3774.0557394300886,4600.084348519718,1050.363731836319,-209.29743565831177,-11064.658172246103,5553.766455499923,-6915.318680390542
83,5558,5504,5304,6142,5750,5689,5575,5611,5700,5784,5448,-4054.4354448494846,7794.148779920833,-144.96226144355998,13902.921761767382,3755.548228219555,4559.220076107333,1038.6186662721375,-210.19229494538698,-11022.742080788605,5534.312646734922,-6855.838956421543
84,5497,5535,5255,6035,5819,5633,5516,5575,5666,5764,5342,-4066.16640829336,7827.401963143579,-149.84215053083528,13901.569009498146,3756.6643448089426,4531.966565212079,1032.0973186182255,-211.06300239918778,-10912.798435130338,5517.175987484519,-6849.1101815465545
85,5443,5526,5228,5969,5780,5583,5438,5546,5589,5689,5316,-4070.2849943935753,7812.237230881761,-164.15670956316723,13784.994510735858,3742.7834410217497,4516.053048014478,1027.8106019325915,-204.49041991100742,-10912.693952073005,5518.14298112258,-6827.41143376481
86,5375,5530,5267,5865,5775,5512,5377,5562,5582,5645,5244,-4069.1176719369073,7856.896033360783,-178.45759890612823,13748.728185898728,3744.247625287532,4492.702557247999,1023.4890956069496,-203.47901058241916,-10911.628127739714,5510.8545746077425,-6771.21074399735
87,5338,5516,5210,5780,5748,5482,5273,5508,5511,5578,5213,-4065.296326201074,7899.155504219148,-185.03032358619072,13715.784648606756,3756.0533828995676,4485.574259997971,1020.4867028236808,-211.14965447996326,-10859.791428657061,5445.733456166076,-6701.738785737435
88,5338,5517,5189,5702,5753,5482,5210,5492,5528,5526,5189,-4052.892192164894,7872.4274416372355,-191.21186989329374,13688.792930115955,3764.7974012326704,4452.746398848082,1008.9541261285314,-208.4272788103681,-10846.85125488114,5443.491170256095,-6694.553780878152
89,5316,5474,5207,5708,5723,5465,5164,5480,5488,5494,5173,-4070.5795038483852,7960.832634646995,-190.08971651160118,13676.95879937284,3776.562188320095,4456.492537674987,1001.1107429425713,-202.27252985451926,-10846.776691577848,5434.88959900476,-6686.683333756084
90,5268,5458,5231,5757,5646,5423,5095,5428,5416,5398,5132,-4066.667194637407,7996.808316653304,-195.08974397374172,13640.257319304805,3776.318338942285,4443.579037133916,995.6574193209062,-196.8396483566215,-10847.945292177177,5396.7116194484925,-6668.68361512263
91,5238,5420,5187,5757,5574,5405,5081,5351,5351,5375,5171,-4063.3648610291693,7997.927471130203,-204.08641610259124,13587.228663904638,3772.9433064729656,4409.964472868288,996.4788010552352,-199.20228678309627,-10743.54854241054,5361.442936694897,-6689.04159652346
92,5208,5394,5175,5747,5498,5344,5060,5272,5352,5347,5160,-4054.8155818912983,8074.488467298669,-210.261321852789,13512.224936912473,3759.7628441738816,4387.9150056100525,992.9903994312021,-193.86440330157785,-10742.3503990579,5355.105591148321,-6664.869690483691
93,5216,5359,5162,5736,5403,5323,5040,5220,5364,5311,5152,-4045.0076307722993,8075.707656919347,-214.77204723311405,13535.546108590655,3750.233461031496,4365.777538407637,1004.6339950354496,-190.6617419965009,-10560.647086832781,5359.48020938373,-6642.69197926789
94,5156,5326,5107,5774,5381,5237,5032,5193,5373,5269,5141,-4029.7086224677537,8106.881688085402,-212.66487715544244,13566.967721261764,3748.041378849201,4331.8495900999305,1001.0436931146238,-187.44411715932836,-10533.102522738367,5301.024488852721,-6565.485044194806
95,5154,5292,5092,5804,5315,5203,5015,5196,5323,5251,5061,-4033.316254093525,8098.5250314358245,-216.50699426367436,13572.787325746938,3738.1727407817602,4327.083114648027,1001.9633695528079,-185.67898782844603,-10368.825535269014,5308.939327078255,-6515.24135190449
96,5131,5282,5042,5733,5249,5161,4980,5172,5248,5221,4994,-4024.4064467294406,8117.213494925658,-230.8786649432347,13487.740095600062,3734.281035135777,4324.183693830998,1005.8258577559618,-187.59691180572543,-10366.072680421663,5279.472127269733,-6520.0983546516845
97,5080,5285,5033,5654,5211,5125,4910,5224,5233,5230,4921,-4023.96516536306,8149.164277582597,-239.4141070788588,13451.237338636709,3729.875305904889,4317.366573201553,1011.7526269238073,-170.33164068465848,-10345.536990143237,5283.6617524578305,-6510.345173094764
98,5072,5266,5033,5651,5201,5091,4903,5206,5217,5222,4926,-4021.889185252048,8134.75209091897,-242.09424102540584,13233.561904519413,3736.3316335581508,4298.072608177178,1016.8033830568578,-174.99882126022376,-10187.105180096845,5281.436201094559,-6488.906058323999
